- Ignacio Herrera Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Godoy (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Katya Ponce Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Yazmín Torrealba Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Federico Castro (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Passerini (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Nicolás Solabarrieta Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Benegas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Benítez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Maryorie Hernández Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Federico Anselmo (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Rocío Maira Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Barticciotto Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Sánchez Sotelo (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Maitte Tapia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Mariel Pastenes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Cavalleri Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Vilches Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nardy Guzmán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Dilan Salgado Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Castillo (Sub 21) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- José Palma (Sub 21) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Pérez Poblete Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Salas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nathalie Quezada Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Martin Araya (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Araneda (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Hales (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Riquelme (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Jiménez (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Verónica Riquelme Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Renata Lizana Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Hernán Rivero (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Vadulli Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Sosa (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Junior Marabel (PAR) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Melany Letelier Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- José Palma (2004) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Natalia Pino Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Oliver Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Adalú Salas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Fernando Garro (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Facundo Castro (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Tapia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Junior Arias (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Diaz (2007) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Vera Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ian Alegría (2008) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ronnie Fernández Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Albert Gómez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- César Munder Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nelson Da Silva (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Claudio Quintiliani Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Ivo Basay Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. José Luis Sierra Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Patricio Graff (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gustavo Costas Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
