- 33. Luis Silba (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Ramos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Jesús Hernández (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Iam González Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Guido Mainero (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Alexander Oroz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Rodrigo Salcedo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Maluenda (2004) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 35. Benjamín Villalobos (Sub 21) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Isaac Díaz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Duma (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Edson Puch Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Roberto Riveros Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jairo Vásquez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Fuentes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Machado (COL) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- José Mauricio Delgado (COL) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Delgado Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Mathías Pinto Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Steffan Pino Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Rojas Ortega (2004) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Krishna Cisternas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
