- DT. Manuel González Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Sara Berríos Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Anaís Figueroa Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Aracelly Tapia Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Ignacia Vásquez Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Francisco Prieto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Nelson Sepúlveda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Sandoval | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Lara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristhofer Mesías | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Francisco Castro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Vasquez (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
